"","Var1","Var2","Var3","Freq"
"76","CD8_Exhausted","TLS1_boundaries_300","TLS1",0.0192036147980796
"77","CD8_proliferation","TLS1_boundaries_300","TLS1",0.0242869245975713
"78","Fb_like Mac_like Treg","TLS1_boundaries_300","TLS1",0.000847218299915278
"79","Treg","TLS1_boundaries_300","TLS1",0.0206156452979384
"80","Th17","TLS1_boundaries_300","TLS1",0.00790737079920926
"81","monocytes","TLS1_boundaries_300","TLS1",0.0169443659983056
"82","Alveolar_Marcophage","TLS1_boundaries_300","TLS1",0.107879130189212
"83","Interstital_Mph_perivascular","TLS1_boundaries_300","TLS1",0.000847218299915278
"84","Alveolar_Mph_Proliferating","TLS1_boundaries_300","TLS1",0.00423609149957639
"85","Epithelial_like Alveolar_Marcophage","TLS1_boundaries_300","TLS1",0.0076249646992375
"86","cDC2","TLS1_boundaries_300","TLS1",0.000282406099971759
"87","cDC3","TLS1_boundaries_300","TLS1",0.00225924879977408
"88","pDC","TLS1_boundaries_300","TLS1",0.00451849759954815
"89","mast_cell","TLS1_boundaries_300","TLS1",0.0076249646992375
"90","Lymphatic_endothelial_cell","TLS1_boundaries_300","TLS1",0.00310646709968935
"91","Arterial_endothelial_cell","TLS1_boundaries_300","TLS1",0.0559164077944084
"92","Pericytes","TLS1_boundaries_300","TLS1",0.0324767014967523
"93","tCAF","TLS1_boundaries_300","TLS1",0.00225924879977408
"94","mCAF","TLS1_boundaries_300","TLS1",0.124823496187518
"95","InfCAF","TLS1_boundaries_300","TLS1",0.0172267720982773
"96","T_like Fibroblast","TLS1_boundaries_300","TLS1",0.00254165489974583
"97","AT1_like Fibroblast","TLS1_boundaries_300","TLS1",0.0014120304998588
"98","AT1","TLS1_boundaries_300","TLS1",0.0279582038972042
"99","AT2","TLS1_boundaries_300","TLS1",0.0214628635978537
"100","AT1_proliferation","TLS1_boundaries_300","TLS1",0.00169443659983056
"101","Alveolar_Marcophage_like Epithelial","TLS1_boundaries_300","TLS1",0.0208980513979102
"102","Tumor","TLS1_boundaries_300","TLS1",0.0708839310929116
"103","B","TLS1_boundaries_450","TLS1",0.0190413657255417
"104","Plasma","TLS1_boundaries_450","TLS1",0.259137666885533
"105","CD8_Teff","TLS1_boundaries_450","TLS1",0.0216677609980302
"106","CD8_CTL","TLS1_boundaries_450","TLS1",0.0358940687240096
"107","Mac_like CD8_CTL","TLS1_boundaries_450","TLS1",0.0275771503611294
"108","Epi_like CD8_Teff","TLS1_boundaries_450","TLS1",0.00415845918144014
"109","Fb_like CD8_Teff","TLS1_boundaries_450","TLS1",0.0284526154519589
"110","CD8_Exhausted","TLS1_boundaries_450","TLS1",0.0282337491792515
"111","CD8_proliferation","TLS1_boundaries_450","TLS1",0.0218866272707376
"112","Fb_like Mac_like Treg","TLS1_boundaries_450","TLS1",0.000437732545414752
"113","Treg","TLS1_boundaries_450","TLS1",0.0131319763624425
"114","Th17","TLS1_boundaries_450","TLS1",0.00766031954475815
"115","monocytes","TLS1_boundaries_450","TLS1",0.0100678485445393
"116","Alveolar_Marcophage","TLS1_boundaries_450","TLS1",0.0873276428102429
"117","Interstital_Mph_perivascular","TLS1_boundaries_450","TLS1",0.00481505799956227
"118","Alveolar_Mph_Proliferating","TLS1_boundaries_450","TLS1",0.00503392427226964
"119","Epithelial_like Alveolar_Marcophage","TLS1_boundaries_450","TLS1",0.0054716568176844
"120","cDC2","TLS1_boundaries_450","TLS1",0.000656598818122127
"121","cDC3","TLS1_boundaries_450","TLS1",0.00109433136353688
"122","pDC","TLS1_boundaries_450","TLS1",0.00306412781790326
"123","mast_cell","TLS1_boundaries_450","TLS1",0.00240752899978113
"124","Lymphatic_endothelial_cell","TLS1_boundaries_450","TLS1",0.00393959290873276
"125","Arterial_endothelial_cell","TLS1_boundaries_450","TLS1",0.043116655723353
"126","Pericytes","TLS1_boundaries_450","TLS1",0.0186036331801269
"127","tCAF","TLS1_boundaries_450","TLS1",0.00175093018165901
"128","mCAF","TLS1_boundaries_450","TLS1",0.0952068286277085
"129","InfCAF","TLS1_boundaries_450","TLS1",0.0153206390895163
"130","T_like Fibroblast","TLS1_boundaries_450","TLS1",0.00196979645436638
"131","AT1_like Fibroblast","TLS1_boundaries_450","TLS1",0.00240752899978113
"132","AT1","TLS1_boundaries_450","TLS1",0.0304224119063252
"133","AT2","TLS1_boundaries_450","TLS1",0.0352374699058875
"134","AT1_proliferation","TLS1_boundaries_450","TLS1",0.00393959290873276
"135","Alveolar_Marcophage_like Epithelial","TLS1_boundaries_450","TLS1",0.0304224119063252
