"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","celltype","change"
"ITGAL",6.1451523785774e-07,-0.882054583679633,0.092,0.168,0.00307319070452656,"ITGAL","boundaries_0","down"
"CCN1",7.46473895169444e-07,2.06007663370398,0.104,0.036,0.00373311594974239,"CCN1","boundaries_0","up"
"YWHAZ",9.42855824557263e-07,-0.528249785771748,0.301,0.411,0.00471522197861087,"YWHAZ","boundaries_0","down"
"YY1",1.05975419933987e-06,-1.3338948478881,0.051,0.109,0.0052998307508987,"YY1","boundaries_0","down"
"TMX2",1.11512338808792e-06,-0.819428343985928,0.07,0.139,0.00557673206382771,"TMX2","boundaries_0","down"
"BTN3A1",1.17767829301736e-06,-0.741783648134237,0.066,0.133,0.00588956914337982,"BTN3A1","boundaries_0","down"
"LDHA",1.21613561283568e-06,-0.739283804726256,0.169,0.265,0.00608189419979124,"LDHA","boundaries_0","down"
"NFE2L2",1.32654743572359e-06,-0.651628217613661,0.078,0.15,0.00663406372605366,"NFE2L2","boundaries_0","down"
"UBD",1.56236755370236e-06,-1.01128263111629,0.047,0.104,0.00781340013606549,"UBD","boundaries_0","down"
"APOBEC3C",1.68175924461619e-06,-1.15307140999834,0.058,0.119,0.00841047798232555,"APOBEC3C","boundaries_0","down"
"GRK2",1.83287394418298e-06,-0.834867364030293,0.135,0.219,0.00916620259485908,"GRK2","boundaries_0","down"
"EMP2",1.83351267941871e-06,-1.72536328168958,0.015,0.051,0.00916939690977297,"EMP2","boundaries_0","down"
"SESN3",1.88203061275936e-06,-1.10637562567337,0.061,0.122,0.00941203509440956,"SESN3","boundaries_0","down"
"SMARCA5",1.96329001768789e-06,-0.784652490640072,0.122,0.203,0.00981841337845712,"SMARCA5","boundaries_0","down"
"AOAH",2.03494765811061e-06,-1.35866653006731,0.027,0.071,0.0101767732382112,"AOAH","boundaries_0","stable"
"CST7",2.29901631342365e-06,-1.59203894227378,0.024,0.066,0.0114973805834317,"CST7","boundaries_0","stable"
"AKT1",2.66450877965203e-06,-0.716174633348563,0.075,0.142,0.0133252084070398,"AKT1","boundaries_0","stable"
"NKX2-1",2.80262599142215e-06,-1.86317906237025,0.019,0.057,0.0140159325831022,"NKX2-1","boundaries_0","stable"
"CEMIP2",2.89362913091064e-06,-1.67438378646695,0.015,0.049,0.0144710392836841,"CEMIP2","boundaries_0","stable"
"CD7",3.11949288225722e-06,-1.54182649808935,0.019,0.057,0.0156005839041684,"CD7","boundaries_0","stable"
"ALKBH5",3.20679017379631e-06,-1.07652183333982,0.045,0.099,0.0160371576591553,"ALKBH5","boundaries_0","stable"
"ATP5F1A",3.50862273313459e-06,-0.59244325281708,0.179,0.272,0.0175466222884061,"ATP5F1A","boundaries_0","stable"
"CXCR3",3.76672004502047e-06,-1.39020103614355,0.021,0.06,0.0188373669451474,"CXCR3","boundaries_0","stable"
"TENT5C",3.80111558466393e-06,1.4565186674423,0.119,0.051,0.0190093790389043,"TENT5C","boundaries_0","stable"
"ENPP2",4.64763861063003e-06,-1.35257458549703,0.027,0.069,0.0232428406917608,"ENPP2","boundaries_0","stable"
"SEMA4D",4.80907215510959e-06,-0.703599676475584,0.14,0.223,0.024050169847703,"SEMA4D","boundaries_0","stable"
"RTN4",6.27340225740821e-06,-0.933513949351096,0.047,0.1,0.0313732846892985,"RTN4","boundaries_0","stable"
"ITGB2",7.14803860728169e-06,-0.651268117558667,0.135,0.215,0.0357473410750157,"ITGB2","boundaries_0","stable"
"ROS1",7.3397815136035e-06,-1.51179130542247,0.009,0.036,0.0367062473495311,"ROS1","boundaries_0","stable"
"PITHD1",8.13287951794573e-06,-1.26237161210094,0.039,0.088,0.0406725304692466,"PITHD1","boundaries_0","stable"
"SNHG15",8.13878787733605e-06,0.582171378290626,0.396,0.31,0.0407020781745576,"SNHG15","boundaries_0","stable"
"TC2N",8.17840310226893e-06,-0.956152782731442,0.049,0.102,0.0409001939144469,"TC2N","boundaries_0","stable"
"H3F3B",9.73389999756856e-06,-0.548469474720557,0.206,0.299,0.0486792338878404,"H3F3B","boundaries_0","stable"
"APPBP2",9.80454211458976e-06,-1.37276770783421,0.022,0.06,0.0490325151150634,"APPBP2","boundaries_0","stable"
"SLAMF7",9.9382702914874e-06,-0.937541281737587,0.038,0.086,0.0497012897277285,"SLAMF7","boundaries_0","stable"
"FNTA",1.00743936894658e-05,-0.882280574346045,0.051,0.104,0.0503820428410186,"FNTA","boundaries_0","stable"
