,class,cell
0,0,apidoffb-1
1,0,akahjgfl-1
2,0,angnogfo-1
3,0,anadbnkd-1
4,0,aodoohlg-1
5,0,akcpmdnm-1
6,0,aomhncmb-1
7,0,gbjijacl-1
8,0,akpaicnm-1
9,0,akglcmin-1
10,0,bacnjjlh-1
11,0,obdobkig-1
12,0,aojlpeal-1
13,0,gboebojf-1
14,0,bcjceaaj-1
15,0,aojejpip-1
16,0,akpimogh-1
17,0,mphbplnk-1
18,0,mblikpim-1
19,0,bagaphep-1
20,0,ajkiblhp-1
21,0,bckahcdm-1
22,0,angpppla-1
23,0,apdnbcoc-1
24,0,ipnhpmem-1
25,0,ajpaacgf-1
26,0,jaeehoec-1
27,0,aohjegld-1
28,0,ajjcfhhn-1
29,0,annpkeen-1
30,0,iphcakdb-1
31,0,njidgalp-1
32,0,anlfkodd-1
33,0,njgofnld-1
34,0,mamcefch-1
35,0,amoljgin-1
36,0,maejdnlm-1
37,0,gbiogohl-1
38,0,jalcffbi-1
39,0,gbnnfpae-1
40,0,akemjgmg-1
41,0,nagahhmg-1
42,0,ajenijig-1
43,0,anjkgnfi-1
44,0,apgfbagf-1
45,0,apocphop-1
46,0,gccbkdef-1
47,0,gbkhnlik-1
48,0,aokcpbna-1
49,0,gbhfbaai-1
50,0,gblbmeld-1
51,0,ajjddjjk-1
52,0,anielebl-1
53,0,ajplpkmc-1
54,0,ojfmaoel-1
55,0,mbdccpaf-1
56,0,anlakfej-1
57,0,ajppbglj-1
58,0,ajjdahlf-1
59,0,baejlhjl-1
60,0,aokjjieg-1
61,0,apnaniap-1
62,0,fpfdlegg-1
63,0,aphcefce-1
64,0,apmcekcd-1
65,0,mabdlmik-1
66,0,fpncfgie-1
67,0,anoknchf-1
68,0,bagnekdb-1
69,0,akegknbk-1
70,0,apbffbdk-1
71,0,jacpkfbf-1
72,0,anfkpcph-1
73,0,mafjpmfe-1
74,0,akfhokbl-1
75,0,apmaapcl-1
76,0,akdbndjo-1
77,0,bacbdcbi-1
78,0,mbbehofg-1
79,0,gbcmfjci-1
80,0,gbkkbefn-1
81,0,bcjgfjmf-1
82,0,fpfjidcm-1
83,0,jalpcapm-1
84,0,fpbchheo-1
85,0,ajhadnkp-1
86,0,ajkchali-1
87,0,ipnlfhan-1
88,0,gbjkdanp-1
89,0,jahgnhao-1
90,0,gbldkiij-1
91,0,bcjbefcb-1
92,0,mbbihojk-1
93,0,apbgchbd-1
94,0,anhofoak-1
95,0,aokgdcne-1
96,0,amnbagmb-1
97,0,apdpgdhk-1
98,0,apemipbf-1
99,0,bahjjjhf-1
100,0,fpfanpnj-1
101,0,apehlcpd-1
102,0,aknajebk-1
103,0,ajnpjfpo-1
104,0,mankjlpi-1
105,0,ajoafamc-1
106,0,mbjnmcld-1
107,0,ajggegbm-1
108,0,ajkojdjo-1
109,0,gcbjlooo-1
110,0,mbdinlce-1
111,0,ajemcfoe-1
112,0,macjhjim-1
113,0,jadngbep-1
114,0,fpfefbel-1
115,0,mbadpjmd-1
116,0,maeoglhd-1
117,0,maenidgl-1
118,0,ajkldpfb-1
119,0,akgficne-1
120,0,gbkcembc-1
121,0,gbegfiad-1
122,0,jaipakmo-1
123,0,mbbiddfl-1
124,0,mbhifdom-1
125,0,anolafjd-1
126,0,maiefpan-1
127,0,mapldekb-1
128,0,alamkpgc-1
129,0,ancmlnbm-1
130,0,maeiiddl-1
131,0,aoiibike-1
132,0,apjbddhj-1
133,0,gbdccopc-1
134,0,ammkdlhl-1
135,0,maognepm-1
136,0,mbkflldn-1
137,0,apilhgaf-1
138,0,amkhhfkh-1
139,0,maebdied-1
140,0,aplobkdc-1
141,0,amndhgne-1
142,0,mbcoglil-1
143,0,apebekbm-1
144,0,gbiifchi-1
145,0,anjachmc-1
146,0,apnoehjk-1
147,0,njmmnolg-1
148,0,gbhjgdgo-1
149,0,gbdpeoih-1
150,0,jdapahae-1
151,0,jaihpmff-1
152,0,anlemddh-1
153,0,amlkoknc-1
154,0,apjkefll-1
155,0,anigbckp-1
156,0,bcklahjh-1
