,X,Y,group
0,1083.5032219144018,869.8799358631314,PSCI_tumor_0
1,1087.856972500699,948.247446416493,PSCI_tumor_0
2,1127.0407277773804,1004.8462040383652,PSCI_tumor_0
3,1192.3469865718484,1030.9687075561524,PSCI_tumor_0
4,1218.469490089635,1096.2749663506204,PSCI_tumor_0
5,1153.163231295167,1152.8737239724926,PSCI_tumor_0
6,1092.210723086997,1196.4112298354714,PSCI_tumor_0
7,1039.965716051423,1261.7174886299397,PSCI_tumor_0
8,1018.1969631199338,1340.0849991833009,PSCI_tumor_0
9,1039.965716051423,1418.4525097366625,PSCI_tumor_0
10,1013.8432125336358,1492.466269703726,PSCI_tumor_0
11,944.1832031528696,1549.0650273255983,PSCI_tumor_0
12,948.5369537391678,1618.725036706364,PSCI_tumor_0
13,965.951956084359,1692.7387966734275,PSCI_tumor_0
14,1000.7819607747416,1753.691304881598,PSCI_tumor_0
15,1044.3194666377203,1805.9363119171724,PSCI_tumor_0
16,1074.7957207418058,1866.888820125342,PSCI_tumor_0
17,1127.0407277773804,1945.256330678704,PSCI_tumor_0
18,1127.0407277773804,2036.6850929909592,PSCI_tumor_0
19,1113.9794760184864,2128.1138553032147,PSCI_tumor_0
20,1105.271974845891,2228.2501187880653,PSCI_tumor_0
21,1100.918224259593,2297.9101281688318,PSCI_tumor_0
22,1061.7344689829124,2411.107643412576,PSCI_tumor_0
23,1005.1357113610396,2485.12140337964,PSCI_tumor_0
24,931.1219513939764,2559.135163346703,PSCI_tumor_0
25,887.5844455309974,2646.21017507266,PSCI_tumor_0
26,874.5231937721037,2724.577685626022,PSCI_tumor_0
27,874.5231937721037,2794.237695006788,PSCI_tumor_0
28,891.9381961172954,2894.3739584916384,PSCI_tumor_0
29,931.1219513939764,2955.326466699809,PSCI_tumor_0
30,1000.7819607747416,2972.741469045,PSCI_tumor_0
31,1074.7957207418058,3011.9252243216806,PSCI_tumor_0
32,1153.163231295167,3020.6327254942767,PSCI_tumor_0
33,1222.823240675933,3020.6327254942767,PSCI_tumor_0
34,1296.837000642997,3029.3402266668727,PSCI_tumor_0
35,1375.2045111963582,3059.816480770957,PSCI_tumor_0
36,1444.8645205771245,3072.877732529851,PSCI_tumor_0
37,1510.1707793715923,3120.7689889791272,PSCI_tumor_0
38,1523.2320311304854,3207.844000705085,PSCI_tumor_0
39,1571.123287579762,3277.5040100858505,PSCI_tumor_0
40,1601.5995416838475,3373.286522984404,PSCI_tumor_0
41,1614.660793442741,3447.300282951467,PSCI_tumor_0
42,1597.2457910975495,3512.606541745936,PSCI_tumor_0
43,1571.123287579762,3604.0353040581904,PSCI_tumor_0
44,1523.2320311304854,3682.402814611552,PSCI_tumor_0
45,1470.9870240949117,3734.647821647126,PSCI_tumor_0
46,1462.2795229223154,3813.015332200488,PSCI_tumor_0
47,1410.0345158867417,3891.382842753849,PSCI_tumor_0
48,1331.6670053333796,3956.6891015483175,PSCI_tumor_0
49,1270.7144971252096,3995.872856824998,PSCI_tumor_0
50,1183.6394853992524,4000.226607411296,PSCI_tumor_0
51,1105.271974845891,4013.28785917019,PSCI_tumor_0
