X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,change
RNF167,0.0228719959878613,-0.360691389,0.16,0.194,1,RNF167,CD8_Exhausted,stable
ASCC3,0.0229240600035601,0.320464151843057,0.111,0.082,1,ASCC3,CD8_Exhausted,stable
ILF3,0.0233090527030104,-0.37351307,0.244,0.278,1,ILF3,CD8_Exhausted,stable
LRBA,0.0236112276566428,-0.329528039,0.139,0.174,1,LRBA,CD8_Exhausted,stable
HNRNPF,0.0238992797363775,-0.273714508,0.371,0.406,1,HNRNPF,CD8_Exhausted,stable
PTPN2,0.0240747469473034,0.268984716764714,0.222,0.182,1,PTPN2,CD8_Exhausted,stable
SLC9A3R1,0.0241747114454475,0.265903350318978,0.1,0.072,1,SLC9A3R1,CD8_Exhausted,stable
WBP2,0.024929608832907,0.329804710109473,0.176,0.139,1,WBP2,CD8_Exhausted,stable
SCAF4,0.0263034734760132,-0.490144319,0.077,0.104,1,SCAF4,CD8_Exhausted,stable
BCR,0.026450109393754,0.386800065748346,0.146,0.115,1,BCR,CD8_Exhausted,stable
SPPL2A,0.0265778681298383,-0.422839433,0.115,0.145,1,SPPL2A,CD8_Exhausted,stable
DVL1,0.0266314924875548,0.326753487541618,0.13,0.1,1,DVL1,CD8_Exhausted,stable
SMCHD1,0.0267044815053563,-0.576360356,0.098,0.126,1,SMCHD1,CD8_Exhausted,stable
ADAR,0.0269998214688593,-0.268052218,0.387,0.41,1,ADAR,CD8_Exhausted,stable
POMGNT1,0.0271212693833591,0.443513192031986,0.123,0.095,1,POMGNT1,CD8_Exhausted,stable
ZNF410,0.0272287064761839,-0.488850115,0.078,0.105,1,ZNF410,CD8_Exhausted,stable
SORD,0.0283440434530127,-0.44671118,0.076,0.102,1,SORD,CD8_Exhausted,stable
SMAD2,0.028551507703225,0.355949512826417,0.178,0.142,1,SMAD2,CD8_Exhausted,stable
CUTA,0.0287398439401744,-0.56267574,0.088,0.115,1,CUTA,CD8_Exhausted,stable
NCOR1,0.0288012558581981,0.298546744646188,0.153,0.12,1,NCOR1,CD8_Exhausted,stable
PTCD3,0.0288975282527399,-0.468091622,0.1,0.129,1,PTCD3,CD8_Exhausted,stable
HIPK2,0.0289697358643914,0.497776622555503,0.13,0.101,1,HIPK2,CD8_Exhausted,stable
HIPK3,0.0290232969907545,0.255848406130182,0.231,0.191,1,HIPK3,CD8_Exhausted,stable
DNM2,0.0293502815438219,-0.419235975,0.226,0.256,1,DNM2,CD8_Exhausted,stable
STAT2,0.0296197317767089,-0.581566211,0.082,0.108,1,STAT2,CD8_Exhausted,stable
BMPR2,0.029897195952226,-0.62364113,0.162,0.19,1,BMPR2,CD8_Exhausted,stable
VAV1,0.0304785404105466,0.402229690399911,0.109,0.082,1,VAV1,CD8_Exhausted,stable
PGM1,0.0308611971374482,0.401306901575254,0.122,0.094,1,PGM1,CD8_Exhausted,stable
NAA15,0.031443857758369,-0.459906448,0.112,0.141,1,NAA15,CD8_Exhausted,stable
SSBP3,0.0317363988407603,-0.380905426,0.09,0.118,1,SSBP3,CD8_Exhausted,stable
IFNAR1,0.0321666278675067,0.399397488228921,0.179,0.147,1,IFNAR1,CD8_Exhausted,stable
GNL2,0.0324705423378292,-0.483144348,0.082,0.108,1,GNL2,CD8_Exhausted,stable
NCLN,0.0332130564123073,0.42912710631985,0.136,0.107,1,NCLN,CD8_Exhausted,stable
TM9SF4,0.0333473020722907,0.410124255273876,0.1,0.074,1,TM9SF4,CD8_Exhausted,stable
NCF2,0.0335239166512028,-0.78132264,0.083,0.108,1,NCF2,CD8_Exhausted,stable
THAP11,0.0341716946808192,0.269176461015644,0.109,0.082,1,THAP11,CD8_Exhausted,stable
RMND5A,0.0342487906401924,0.330414211256544,0.145,0.115,1,RMND5A,CD8_Exhausted,stable
DHX9,0.0351766220712177,-0.480915319,0.193,0.223,1,DHX9,CD8_Exhausted,stable
CENPF,0.0351843675650723,-0.523550926,0.082,0.108,1,CENPF,CD8_Exhausted,stable
DNMT1,0.0352084686575872,-0.356859085,0.172,0.206,1,DNMT1,CD8_Exhausted,stable
SEMA3C,0.0352892142509018,-0.381717299,0.111,0.14,1,SEMA3C,CD8_Exhausted,stable
NCBP1,0.0363027883110595,-0.410209561,0.093,0.12,1,NCBP1,CD8_Exhausted,stable
DYNC1H1,0.0363342797634693,-0.363846474,0.148,0.178,1,DYNC1H1,CD8_Exhausted,stable
CDK6,0.0388998047068268,-0.382334054,0.129,0.159,1,CDK6,CD8_Exhausted,stable
HAX1,0.0389534450065431,0.2863930202231,0.131,0.102,1,HAX1,CD8_Exhausted,stable
PLS3,0.0390216058608525,-0.282082615,0.25,0.282,1,PLS3,CD8_Exhausted,stable
RACGAP1,0.0399936121816543,0.446339272128278,0.103,0.078,1,RACGAP1,CD8_Exhausted,stable
SF3B1,0.0428749418654644,-0.386532115,0.208,0.238,1,SF3B1,CD8_Exhausted,stable
POLDIP2,0.043601258448569,-0.452774954,0.143,0.172,1,POLDIP2,CD8_Exhausted,stable
CDC34,0.0451052698855705,-0.346716309,0.102,0.129,1,CDC34,CD8_Exhausted,stable
CDK2,0.0459748692679302,-0.730341042,0.091,0.114,1,CDK2,CD8_Exhausted,stable
MAPK14,0.0498333732457887,-0.28902262,0.099,0.125,1,MAPK14,CD8_Exhausted,stable
APOL3,0.0499905460673649,0.26730106560649,0.11,0.085,1,APOL3,CD8_Exhausted,stable
SOCS3,0.0505856217704459,-0.49775343,0.173,0.199,1,SOCS3,CD8_Exhausted,stable
PRKACA,0.0512630013489566,0.364458577584214,0.147,0.119,1,PRKACA,CD8_Exhausted,stable
UBA1,0.0521367381734921,-0.596474634,0.117,0.142,1,UBA1,CD8_Exhausted,stable
ZEB2,0.0523978095058366,-0.542399621,0.084,0.107,1,ZEB2,CD8_Exhausted,stable
TOX4,0.0544768393429369,-0.444309482,0.102,0.126,1,TOX4,CD8_Exhausted,stable
DHFR,0.0547069119424837,0.273716143045722,0.105,0.08,1,DHFR,CD8_Exhausted,stable
LCK,0.0552444385716147,-0.2503786,0.214,0.246,1,LCK,CD8_Exhausted,stable
DKC1,0.0576811268785111,-0.47753776,0.096,0.12,1,DKC1,CD8_Exhausted,stable
ADAM8,0.0583754743427594,-0.341246742,0.223,0.253,1,ADAM8,CD8_Exhausted,stable
PIM1,0.0596258669411205,0.355795449113379,0.198,0.168,1,PIM1,CD8_Exhausted,stable
CREB3,0.0601280969946603,-0.423031829,0.08,0.103,1,CREB3,CD8_Exhausted,stable
TGFBR1,0.0611542272885111,0.371853603258973,0.117,0.093,1,TGFBR1,CD8_Exhausted,stable
MAP4K4,0.0614096053378936,-0.360973707,0.27,0.299,1,MAP4K4,CD8_Exhausted,stable
G6PD,0.0635065843232488,-0.394557451,0.096,0.12,1,G6PD,CD8_Exhausted,stable
DUSP23,0.0641909058671211,0.405803070250232,0.121,0.097,1,DUSP23,CD8_Exhausted,stable
TNPO3,0.0653774741329138,-0.362578641,0.095,0.119,1,TNPO3,CD8_Exhausted,stable
UBE3A,0.0662008156508801,-0.55186232,0.13,0.154,1,UBE3A,CD8_Exhausted,stable
STIM1,0.0672985831951257,0.256083654004603,0.161,0.132,1,STIM1,CD8_Exhausted,stable
DAXX,0.069554027496919,-0.463453161,0.109,0.134,1,DAXX,CD8_Exhausted,stable
ANKRD40,0.0703392380172813,0.256842964218533,0.117,0.094,1,ANKRD40,CD8_Exhausted,stable
TRRAP,0.0725203131625742,-0.315158512,0.08,0.102,1,TRRAP,CD8_Exhausted,stable
REXO2,0.0727145984870317,-0.462061959,0.087,0.11,1,REXO2,CD8_Exhausted,stable
GCN1,0.0736409631529284,-0.467118191,0.083,0.105,1,GCN1,CD8_Exhausted,stable
IKBKB,0.0740353610113563,-0.358525256,0.105,0.128,1,IKBKB,CD8_Exhausted,stable
SYNCRIP,0.0752923461862999,-0.426381098,0.231,0.253,1,SYNCRIP,CD8_Exhausted,stable
CBLB,0.0759785186091448,-0.343229998,0.103,0.126,1,CBLB,CD8_Exhausted,stable
YLPM1,0.0766861264728034,-0.411267646,0.107,0.131,1,YLPM1,CD8_Exhausted,stable
FAF1,0.082126181237008,0.31436577085611,0.116,0.094,1,FAF1,CD8_Exhausted,stable
AFF1,0.0839984886402098,0.266863613139163,0.1,0.078,1,AFF1,CD8_Exhausted,stable
SPN,0.0851017082575602,0.284785543468835,0.11,0.088,1,SPN,CD8_Exhausted,stable
HADHA,0.0914163770388958,-0.329436791,0.201,0.225,1,HADHA,CD8_Exhausted,stable
PSMB5,0.0914998574905478,-0.34329963,0.117,0.141,1,PSMB5,CD8_Exhausted,stable
IFI44L,0.0934486322716564,-0.560627647,0.129,0.15,1,IFI44L,CD8_Exhausted,stable
RPA2,0.0946855060220955,-0.335988847,0.127,0.151,1,RPA2,CD8_Exhausted,stable
XPR1,0.0964682141578917,-0.310222669,0.104,0.125,1,XPR1,CD8_Exhausted,stable
HK1,0.100451312368454,-0.356275452,0.161,0.183,1,HK1,CD8_Exhausted,stable
IL2RB,0.101105825771692,-0.331305915,0.192,0.217,1,IL2RB,CD8_Exhausted,stable
IL21R,0.102078139373332,-0.537917636,0.1,0.12,1,IL21R,CD8_Exhausted,stable
CD96,0.102508666093618,-0.365235191,0.289,0.305,1,CD96,CD8_Exhausted,stable
GOT1,0.105112218294423,-0.390928545,0.095,0.115,1,GOT1,CD8_Exhausted,stable
AAMP,0.1055449757601,-0.346967716,0.104,0.124,1,AAMP,CD8_Exhausted,stable
MCM3AP,0.106229586584894,-0.353166749,0.091,0.11,1,MCM3AP,CD8_Exhausted,stable
SHC1,0.113892341325563,-0.294796434,0.204,0.229,1,SHC1,CD8_Exhausted,stable
CD40,0.117046076721876,0.322105812912124,0.12,0.1,1,CD40,CD8_Exhausted,stable
KLF16,0.120510146956015,0.2710714638645,0.106,0.086,1,KLF16,CD8_Exhausted,stable
SEC23B,0.121025927256211,-0.404907546,0.106,0.126,1,SEC23B,CD8_Exhausted,stable
UHRF1,0.121255911757308,-0.447843962,0.13,0.15,1,UHRF1,CD8_Exhausted,stable
LIMK1,0.123251125776729,-0.508455717,0.093,0.111,1,LIMK1,CD8_Exhausted,stable
CHEK1,0.126983819543009,-0.424987497,0.085,0.103,1,CHEK1,CD8_Exhausted,stable
UBTF,0.130024584517659,-0.353116293,0.165,0.187,1,UBTF,CD8_Exhausted,stable
ADD1,0.13033788543703,-0.309960168,0.199,0.222,1,ADD1,CD8_Exhausted,stable
HSD17B10,0.132331877304121,-0.551102006,0.101,0.119,1,HSD17B10,CD8_Exhausted,stable
EZH2,0.135395203117671,-0.530381645,0.089,0.106,1,EZH2,CD8_Exhausted,stable
PIK3CA,0.136944729669865,-0.417036587,0.083,0.1,1,PIK3CA,CD8_Exhausted,stable
METTL3,0.139437998161843,-0.464867823,0.083,0.1,1,METTL3,CD8_Exhausted,stable
NFKB2,0.141058100739523,-0.324792099,0.158,0.179,1,NFKB2,CD8_Exhausted,stable
PPP1CA,0.141194419789584,-0.320891935,0.303,0.315,1,PPP1CA,CD8_Exhausted,stable
ALG13,0.142195317855273,0.34940845926651,0.104,0.085,1,ALG13,CD8_Exhausted,stable
PAPSS1,0.143450067442731,-0.337254441,0.105,0.124,1,PAPSS1,CD8_Exhausted,stable
CYBC1,0.14407639106163,-0.518334638,0.104,0.121,1,CYBC1,CD8_Exhausted,stable
DDX1,0.144783716441593,-0.256821614,0.131,0.153,1,DDX1,CD8_Exhausted,stable
FDFT1,0.147275106082036,-0.42824035,0.083,0.1,1,FDFT1,CD8_Exhausted,stable
SP140,0.14801496818579,-0.344387966,0.203,0.222,1,SP140,CD8_Exhausted,stable
NECTIN2,0.151369703625498,-0.317512401,0.119,0.139,1,NECTIN2,CD8_Exhausted,stable
CCDC6,0.152223139115069,-0.550556361,0.111,0.129,1,CCDC6,CD8_Exhausted,stable
COPS5,0.156259398805749,-0.280207345,0.12,0.139,1,COPS5,CD8_Exhausted,stable
MPZL1,0.158809686679068,-0.273018785,0.125,0.145,1,MPZL1,CD8_Exhausted,stable
FASLG,0.159041263553781,-0.505784686,0.113,0.13,1,FASLG,CD8_Exhausted,stable
ACLY,0.162552114553803,-0.26759037,0.181,0.201,1,ACLY,CD8_Exhausted,stable
RGPD6,0.162793463455506,-0.432273157,0.087,0.104,1,RGPD6,CD8_Exhausted,stable
ATF2,0.163187564216131,-0.54098271,0.1,0.115,1,ATF2,CD8_Exhausted,stable
SLC35E1,0.163522682177768,-0.361443013,0.094,0.111,1,SLC35E1,CD8_Exhausted,stable
TFRC,0.172786628172106,-0.261966965,0.124,0.143,1,TFRC,CD8_Exhausted,stable
TTC9C,0.173282767542596,0.259252184692427,0.117,0.099,1,TTC9C,CD8_Exhausted,stable
IPO9,0.178508709669009,-0.293427363,0.101,0.118,1,IPO9,CD8_Exhausted,stable
ECPAS,0.180834053704616,-0.276015912,0.154,0.174,1,ECPAS,CD8_Exhausted,stable
TRIM28,0.184746026146274,-0.345583869,0.112,0.129,1,TRIM28,CD8_Exhausted,stable
EFNB2,0.190680330847202,-0.325278278,0.106,0.121,1,EFNB2,CD8_Exhausted,stable
SDF2L1,0.198104093877131,-0.291585242,0.09,0.105,1,SDF2L1,CD8_Exhausted,stable
SSRP1,0.202284072708965,-0.284460465,0.195,0.214,1,SSRP1,CD8_Exhausted,stable
PGD,0.202522203050603,-0.4532412,0.143,0.158,1,PGD,CD8_Exhausted,stable
TSC2,0.203468887827339,-0.46155463,0.094,0.109,1,TSC2,CD8_Exhausted,stable
DHCR24,0.217521769261918,0.29793144099438,0.108,0.093,1,DHCR24,CD8_Exhausted,stable
ITGB5,0.222578398938498,0.350217446319905,0.106,0.09,1,ITGB5,CD8_Exhausted,stable
PTDSS1,0.225132801020603,-0.416667943,0.149,0.164,1,PTDSS1,CD8_Exhausted,stable
AXIN1,0.228413235408883,-0.467494695,0.097,0.11,1,AXIN1,CD8_Exhausted,stable
EIF2AK3,0.228799978994494,-0.321933278,0.095,0.109,1,EIF2AK3,CD8_Exhausted,stable
SNX1,0.230684642217282,-0.374565298,0.148,0.162,1,SNX1,CD8_Exhausted,stable
TOP1,0.233931882984929,-0.261051614,0.178,0.194,1,TOP1,CD8_Exhausted,stable
KCTD9,0.237428799168788,-0.416101363,0.094,0.108,1,KCTD9,CD8_Exhausted,stable
PIK3CD,0.24572055720193,-0.297011791,0.12,0.136,1,PIK3CD,CD8_Exhausted,stable
NOTCH2,0.2485194998596,-0.26049386,0.189,0.205,1,NOTCH2,CD8_Exhausted,stable
CNP,0.25086718990404,-0.352619301,0.14,0.155,1,CNP,CD8_Exhausted,stable
UBE2I,0.254955052184515,-0.303531433,0.146,0.162,1,UBE2I,CD8_Exhausted,stable
CHFR,0.259617092866715,-0.365250546,0.109,0.124,1,CHFR,CD8_Exhausted,stable
PDCD6,0.260124347181272,-0.291355869,0.195,0.208,1,PDCD6,CD8_Exhausted,stable
RBM23,0.262168355112754,-0.434569777,0.111,0.124,1,RBM23,CD8_Exhausted,stable
PTK2,0.262447718103493,-0.408342692,0.089,0.102,1,PTK2,CD8_Exhausted,stable
EIF2AK2,0.263582771955242,-0.278928477,0.11,0.125,1,EIF2AK2,CD8_Exhausted,stable
HADHB,0.266207652906884,-0.308161688,0.125,0.139,1,HADHB,CD8_Exhausted,stable
CUL4A,0.282908688863479,-0.337749181,0.118,0.132,1,CUL4A,CD8_Exhausted,stable
SUMO4,0.301823183231252,-0.264457586,0.175,0.188,1,SUMO4,CD8_Exhausted,stable
CARD11,0.305229616271353,-0.331575864,0.106,0.118,1,CARD11,CD8_Exhausted,stable
CD7,0.321556381402807,-0.344854385,0.15,0.162,1,CD7,CD8_Exhausted,stable
XBP1,0.324976245108328,-0.408560492,0.316,0.28,1,XBP1,CD8_Exhausted,stable
TPMT,0.367236719639136,-0.360917151,0.116,0.126,1,TPMT,CD8_Exhausted,stable
FN3KRP,0.369955685799911,-0.335103909,0.103,0.113,1,FN3KRP,CD8_Exhausted,stable
CUL1,0.373966042573906,-0.274475516,0.126,0.136,1,CUL1,CD8_Exhausted,stable
LRRC47,0.375981933042002,-0.47119005,0.131,0.14,1,LRRC47,CD8_Exhausted,stable
RIC8A,0.384659285670876,-0.4155508,0.154,0.161,1,RIC8A,CD8_Exhausted,stable
TMPO,0.386733605723415,-0.260258271,0.154,0.166,1,TMPO,CD8_Exhausted,stable
CYTOR,0.38840628251654,-0.355403192,0.098,0.108,1,CYTOR,CD8_Exhausted,stable
PRPSAP1,0.436888172937625,-0.274093638,0.131,0.139,1,PRPSAP1,CD8_Exhausted,stable
CREBBP,0.437213565648043,-0.27641649,0.175,0.182,1,CREBBP,CD8_Exhausted,stable
CTCF,0.443040787418101,-0.273972045,0.112,0.122,1,CTCF,CD8_Exhausted,stable
SNAI2,0.451252832779956,-0.303274087,0.182,0.192,1,SNAI2,CD8_Exhausted,stable
SMAD7,0.489382790287643,-0.472243429,0.094,0.1,1,SMAD7,CD8_Exhausted,stable
AFAP1L2,0.505028092319261,-0.279926607,0.194,0.2,1,AFAP1L2,CD8_Exhausted,stable
ZNF512,0.521225388003085,-0.26026502,0.095,0.102,1,ZNF512,CD8_Exhausted,stable
RBM38,0.549655882505605,-0.283391661,0.137,0.143,1,RBM38,CD8_Exhausted,stable
PITHD1,0.596059987746803,-0.261624955,0.105,0.111,1,PITHD1,CD8_Exhausted,stable
MAP3K7,0.613621761247312,-0.359234426,0.102,0.106,1,MAP3K7,CD8_Exhausted,stable
MRC2,0.631161765997717,-0.269437427,0.1,0.105,1,MRC2,CD8_Exhausted,stable
VHL,0.634174658734394,-0.255692556,0.132,0.137,1,VHL,CD8_Exhausted,stable
NEK6,0.635067945359699,-0.339173734,0.101,0.105,1,NEK6,CD8_Exhausted,stable
THEMIS2,0.636302814590041,-0.410452205,0.105,0.109,1,THEMIS2,CD8_Exhausted,stable
OTUB1,0.760129606705075,-0.258074278,0.106,0.109,1,OTUB1,CD8_Exhausted,stable
SOX2-OT11,1.05328202673135e-298,-3.177222163,0.278,0.883,5.26746341568347e-295,SOX2-OT,CD8_CTL,down
CD8A5,5.52705079947747e-60,0.985001644174004,0.748,0.564,2.76407810481868e-56,CD8A,CD8_CTL,up
CD3E5,2.68189967635702e-54,1.01971466119317,0.656,0.433,1.34121802814614e-50,CD3E,CD8_CTL,up
SULF19,3.41159297398831e-40,2.59353318057419,0.138,0.025,1.70613764629155e-36,SULF1,CD8_CTL,up
LDHA11,1.9144500782127e-39,1.42045379703687,0.406,0.207,9.57416484114172e-36,LDHA,CD8_CTL,up
ARF611,1.19345884676985e-36,1.68676582342183,0.265,0.104,5.96848769269602e-33,ARF6,CD8_CTL,up
ALG1110,9.17037304634624e-35,-2.369915817,0.047,0.22,4.58610356047776e-31,ALG11,CD8_CTL,down
SLC40A111,9.14095114455968e-33,2.21056737682792,0.176,0.053,4.5713896673943e-29,SLC40A1,CD8_CTL,up
GZMB2,5.03849872549742e-32,1.31499598719466,0.313,0.145,2.51975321262126e-28,GZMB,CD8_CTL,up
APOBEC3C9,4.2776349983269e-29,1.46747989075102,0.251,0.108,2.13924526266328e-25,APOBEC3C,CD8_CTL,up
SOST8,1.17091961726805e-28,-0.995136823,0.249,0.444,5.85576900595753e-25,SOST,CD8_CTL,down
RAC111,9.94531835628251e-27,1.1843883701231,0.337,0.181,4.97365370997689e-23,RAC1,CD8_CTL,up
RHOA11,2.83302316945404e-26,1.28065012727698,0.306,0.159,1.41679488704396e-22,RHOA,CD8_CTL,up
TIMP210,9.23973928594457e-26,2.23784164568133,0.124,0.034,4.62079361690088e-22,TIMP2,CD8_CTL,up
HAVCR24,1.91511394480516e-24,2.17950565845241,0.116,0.031,9.57748483797059e-21,HAVCR2,CD8_CTL,up
DEK10,5.56114824323091e-24,1.64201077597576,0.175,0.065,2.78113023643978e-20,DEK,CD8_CTL,up
STAT18,8.08223673824719e-24,1.04420228337649,0.37,0.218,4.04192659279742e-20,STAT1,CD8_CTL,up
GZMH1,4.26365571301705e-23,0.91268548735615,0.39,0.238,2.13225422207983e-19,GZMH,CD8_CTL,up
PAIP211,1.27527901616342e-22,1.41545790870464,0.215,0.097,6.37767035983329e-19,PAIP2,CD8_CTL,up
VCAM15,2.20788480181839e-22,2.22748095132179,0.107,0.029,1.10416318938938e-18,VCAM1,CD8_CTL,up
CD3G5,7.30893516484805e-22,1.35157405564646,0.209,0.093,3.65519847594051e-18,CD3G,CD8_CTL,up
TNFSF44,7.83884374259952e-22,2.36195767779446,0.102,0.027,3.92020575567402e-18,TNFSF4,CD8_CTL,up
POSTN10,1.42689273006368e-21,2.04042392830442,0.139,0.049,7.13589054304845e-18,POSTN,CD8_CTL,up
UBE2D310,2.60707706609281e-21,1.18657745922831,0.274,0.145,1.30379924075301e-17,UBE2D3,CD8_CTL,up
ADGRE57,3.5597119595148e-21,1.06353729838768,0.337,0.198,1.78021195095335e-17,ADGRE5,CD8_CTL,up
TNFRSF95,8.01571828020035e-21,1.81741617815865,0.125,0.041,4.00866071192819e-17,TNFRSF9,CD8_CTL,up
GZMK3,8.97363870592702e-21,1.20591136214423,0.249,0.125,4.4877167168341e-17,GZMK,CD8_CTL,up
PKM10,1.14500358754168e-20,1.16636996915261,0.318,0.189,5.72616294129594e-17,PKM,CD8_CTL,up
GBP57,2.05568829779727e-20,1.21623124205588,0.247,0.126,1.02804971772841e-16,GBP5,CD8_CTL,up
ANXA211,5.39481489857571e-20,1.19414849870053,0.272,0.15,2.69794693077771e-16,ANXA2,CD8_CTL,up
CBX311,4.39034928654649e-19,1.37070437743719,0.191,0.087,2.1956136782019e-15,CBX3,CD8_CTL,up
GZMA4,7.40071246421061e-19,0.820750607698935,0.481,0.348,3.70109630335172e-15,GZMA,CD8_CTL,up
CDC4210,7.41246291982261e-19,1.17425194806253,0.25,0.132,3.70697270620329e-15,CDC42,CD8_CTL,up
CD278,9.44068927668514e-19,1.47156506110661,0.159,0.066,4.72128870727024e-15,CD27,CD8_CTL,up
LCK5,2.76417414146299e-18,-1.194027314,0.116,0.248,1.38236348814564e-14,LCK,CD8_CTL,down
HNRNPD10,5.92552658481303e-18,0.961694384135833,0.324,0.199,2.963355845065e-14,HNRNPD,CD8_CTL,up
IKZF18,9.21445304718695e-18,1.02399454957931,0.253,0.136,4.6081479688982e-14,IKZF1,CD8_CTL,up
PTGES311,1.34263272457054e-17,1.18063202180482,0.25,0.138,6.71450625557729e-14,PTGES3,CD8_CTL,up
H3F3B11,1.55900324468302e-17,0.976702019108019,0.324,0.202,7.7965752266598e-14,H3F3B,CD8_CTL,up
DAZAP211,1.83419750469378e-17,1.22355563134245,0.208,0.104,9.17282172097358e-14,DAZAP2,CD8_CTL,up
ANXA59,2.95816276790887e-17,0.969790286381902,0.24,0.127,1.47937720023122e-13,ANXA5,CD8_CTL,up
PICALM10,3.4380411010458e-17,1.37693836227452,0.17,0.077,1.71936435463301e-13,PICALM,CD8_CTL,up
TMEM14C11,3.88843852541983e-17,1.90405263337387,0.102,0.033,1.94460810656246e-13,TMEM14C,CD8_CTL,up
NAIP9,1.32738612546131e-16,-1.966247066,0.027,0.116,6.638258013432e-13,NAIP,CD8_CTL,down
FCGR2A11,1.41053166617561e-16,1.86275245727824,0.125,0.049,7.05406886254421e-13,FCGR2A,CD8_CTL,up
CDC2711,1.47884561509095e-16,-1.37208477,0.072,0.184,7.39570692106983e-13,CDC27,CD8_CTL,down
APOBEC3G4,2.87952089429101e-16,1.11793776159116,0.205,0.102,1.44004839923493e-12,APOBEC3G,CD8_CTL,up
SLAMF77,1.01018492529797e-15,1.14936949547439,0.196,0.099,5.05193481141514e-12,SLAMF7,CD8_CTL,up
PLEC9,4.08802987682315e-15,0.981865160153835,0.27,0.16,2.04442374139926e-11,PLEC,CD8_CTL,up
UBE2D211,4.88761370386327e-15,1.37561173003109,0.123,0.05,2.44429561330202e-11,UBE2D2,CD8_CTL,up
TUBB13,1.05095902817716e-14,0.921855865132907,0.35,0.239,5.25584609991396e-11,TUBB,CD8_CTL,up
VAMP311,1.8964125758435e-14,1.44871978865748,0.11,0.043,9.48395929179335e-11,VAMP3,CD8_CTL,up
YWHAZ9,2.19367986620102e-14,0.655847987606178,0.435,0.317,1.09705930108713e-10,YWHAZ,CD8_CTL,up
IRF19,3.90747259630288e-14,-0.945057377,0.161,0.281,1.95412704541107e-10,IRF1,CD8_CTL,down
KLRD11,4.26548677649229e-14,1.58198421824722,0.107,0.041,2.13316993692379e-10,KLRD1,CD8_CTL,up
EIF4EBP29,6.85964362744952e-14,1.40590930415937,0.146,0.069,3.4305077780875e-10,EIF4EBP2,CD8_CTL,up
PSMA67,2.38333802636673e-13,1.32969034779889,0.133,0.06,1.191907346986e-09,PSMA6,CD8_CTL,up
OSGIN12,2.42816293521263e-13,-1.84168068,0.026,0.1,1.21432428389984e-09,OSGIN1,CD8_CTL,down
NAP1L49,2.76699772906105e-13,1.15281423852853,0.173,0.09,1.38377556430343e-09,NAP1L4,CD8_CTL,up
EIF5A10,3.12707467519566e-13,1.2816696349103,0.151,0.073,1.56385004506535e-09,EIF5A,CD8_CTL,up
CD826,4.5517668448864e-13,1.36265684525843,0.129,0.059,2.27633859912769e-09,CD82,CD8_CTL,up
GIMAP45,6.27710030362366e-13,0.80551830634845,0.275,0.174,3.13917786184219e-09,GIMAP4,CD8_CTL,up
HECA10,1.23927768068905e-12,1.05540524225581,0.218,0.128,6.19762768112592e-09,HECA,CD8_CTL,up
SEPTIN67,2.27602460967932e-12,-0.984079103,0.089,0.187,1.13823990730063e-08,SEPTIN6,CD8_CTL,down
MAPRE29,4.94144193808333e-12,1.27038867518271,0.116,0.052,2.47121511323548e-08,MAPRE2,CD8_CTL,up
CD75,4.96281810744247e-12,1.16539876382885,0.14,0.068,2.48190533553198e-08,CD7,CD8_CTL,up
MMP1411,8.20451417231687e-12,1.28997992593009,0.14,0.07,4.10307753757567e-08,MMP14,CD8_CTL,up
GBP19,9.83451465088845e-12,0.957486958745215,0.204,0.117,4.91824077690931e-08,GBP1,CD8_CTL,up
PIM28,1.14423850714702e-11,-1.550062593,0.053,0.131,5.72233677424226e-08,PIM2,CD8_CTL,down
KIF5B10,1.25682248950473e-11,1.24236706811448,0.137,0.068,6.28536927001316e-08,KIF5B,CD8_CTL,up
SRSF19,1.79088420409926e-11,0.881623366768561,0.241,0.15,8.95621190470042e-08,SRSF1,CD8_CTL,up
AKT19,2.08838590296514e-11,1.04379134675037,0.156,0.082,1.04440179007287e-07,AKT1,CD8_CTL,up
CCND23,2.17202631205339e-11,0.831316331670686,0.267,0.171,1.0862303586579e-07,CCND2,CD8_CTL,up
PVT18,2.5016833635645e-11,-1.140958226,0.059,0.14,1.2510918501186e-07,PVT1,CD8_CTL,down
KLRG11,3.9223317731843e-11,-1.018473028,0.103,0.195,1.96155811976947e-07,KLRG1,CD8_CTL,down
ZYX9,7.37087039565474e-11,1.18582388986899,0.14,0.072,3.68617228486694e-07,ZYX,CD8_CTL,up
SNHG1511,1.43344382808544e-10,-0.841016003,0.128,0.222,7.16865258425527e-07,SNHG15,CD8_CTL,down
KLRK13,3.69348671507115e-10,0.67276709226909,0.299,0.205,1.84711270620708e-06,KLRK1,CD8_CTL,up
IQGAP110,8.88672723001083e-10,1.04326734696847,0.174,0.102,4.44425228772842e-06,IQGAP1,CD8_CTL,up
RTN49,1.22305075150071e-09,1.37227455873018,0.1,0.047,6.11647680825505e-06,RTN4,CD8_CTL,up
NBL110,1.30379717662842e-09,1.0622006625113,0.146,0.081,6.52028968031875e-06,NBL1,CD8_CTL,up
CD8B2,1.55697992784897e-09,1.06039571897433,0.131,0.068,7.78645661917269e-06,CD8B,CD8_CTL,up
STAT68,1.55885028211117e-09,-0.962797045,0.058,0.129,7.79581026083796e-06,STAT6,CD8_CTL,down
