X,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene,cluster,change
PCID2,0.000493657148639674,-0.746400761,0.084,0.129,1,PCID2,CD8_Exhausted,stable
SDHB,0.000499395002582974,0.27598815716646,0.209,0.149,1,SDHB,CD8_Exhausted,stable
RBBP7,0.000504310506650896,0.556995234088537,0.134,0.088,1,RBBP7,CD8_Exhausted,stable
CTTN,0.000506201875124536,0.409226897858803,0.305,0.241,1,CTTN,CD8_Exhausted,stable
CFDP1,0.000517666282331917,0.524606147949322,0.11,0.068,1,CFDP1,CD8_Exhausted,stable
MTA1,0.00053673823664107,0.613463171758001,0.112,0.07,1,MTA1,CD8_Exhausted,stable
POLR2M,0.00054782566567195,0.325670166000485,0.178,0.122,1,POLR2M,CD8_Exhausted,stable
SNX27,0.00054990826174697,0.48766292391801,0.129,0.083,1,SNX27,CD8_Exhausted,stable
RO60,0.000550781536429507,0.672710892113482,0.1,0.06,1,RO60,CD8_Exhausted,stable
PIP4K2A,0.000556501875997954,0.49784470320249,0.143,0.095,1,PIP4K2A,CD8_Exhausted,stable
LPCAT1,0.000566814022175089,0.424590241185437,0.17,0.116,1,LPCAT1,CD8_Exhausted,stable
SREBF2,0.000583324665907461,-0.689210626,0.082,0.126,1,SREBF2,CD8_Exhausted,stable
CLPX,0.000586212117499527,0.428595474372979,0.125,0.08,1,CLPX,CD8_Exhausted,stable
NAIP,0.000613775482167901,-0.897195046,0.099,0.143,1,NAIP,CD8_Exhausted,stable
RGPD8,0.000614632459622619,-0.808874931,0.06,0.1,1,RGPD8,CD8_Exhausted,stable
PRDM1,0.000660195491106676,0.542651397985625,0.132,0.086,1,PRDM1,CD8_Exhausted,stable
SLC39A8,0.000679459715213964,-0.72526703,0.09,0.134,1,SLC39A8,CD8_Exhausted,stable
SNRPB,0.000688034683399447,0.358086496107891,0.362,0.296,1,SNRPB,CD8_Exhausted,stable
PRPF31,0.000694969527150567,0.595088751239626,0.113,0.071,1,PRPF31,CD8_Exhausted,stable
KLRD1,0.000719607642321041,0.739138310861146,0.102,0.063,1,KLRD1,CD8_Exhausted,stable
IPO5,0.000722685693903971,-0.652880487,0.153,0.203,1,IPO5,CD8_Exhausted,stable
CHRAC1,0.000736954588691964,0.476681480998785,0.109,0.068,1,CHRAC1,CD8_Exhausted,stable
CCT2,0.000807987146617169,0.400147209314837,0.277,0.213,1,CCT2,CD8_Exhausted,stable
WAS,0.000813224003492544,0.488728692466413,0.174,0.122,1,WAS,CD8_Exhausted,stable
CTNNA1,0.000881607693253865,0.281468208585411,0.306,0.239,1,CTNNA1,CD8_Exhausted,stable
KIF5B,0.000887648858250196,0.303088526163416,0.259,0.198,1,KIF5B,CD8_Exhausted,stable
PECAM1,0.000892799012023982,0.31911932671445,0.148,0.1,1,PECAM1,CD8_Exhausted,stable
LENG8,0.000894000334390268,-0.449730938,0.23,0.285,1,LENG8,CD8_Exhausted,stable
TNFRSF14,0.00089605552904294,0.308756426534907,0.203,0.146,1,TNFRSF14,CD8_Exhausted,stable
ATXN1,0.000924170372572952,0.563429976687228,0.119,0.077,1,ATXN1,CD8_Exhausted,stable
DUSP5,0.000940264320116119,0.316934551095879,0.214,0.156,1,DUSP5,CD8_Exhausted,stable
ING1,0.0010208338198595,-0.795936251,0.076,0.117,1,ING1,CD8_Exhausted,stable
ATL3,0.00102579920138259,-0.775395367,0.142,0.187,1,ATL3,CD8_Exhausted,stable
ITPRID2,0.00103624680848435,-0.697304159,0.093,0.137,1,ITPRID2,CD8_Exhausted,stable
HNMT,0.00105145088947732,0.315232543388853,0.124,0.081,1,HNMT,CD8_Exhausted,stable
RAI14,0.00107706481280222,0.434171325499225,0.145,0.1,1,RAI14,CD8_Exhausted,stable
CLPTM1L,0.00109132346919921,-0.484760198,0.264,0.315,1,CLPTM1L,CD8_Exhausted,stable
LGALS8,0.00110010755865044,-0.659166196,0.091,0.134,1,LGALS8,CD8_Exhausted,stable
